委托时间,投顾编号,证券代码,成交数量,成交均价,操作,理财产品,状态,证券名称,委托编号,投顾姓名
92500,400050,671,800.0,7.3,买入,致远1号,已转换,671,BNS000,400050
92500,400050,671,1800.0,7.3,买入,致远1号,已转换,671,BNS000,400050
92500,400050,671,1300.0,7.3,买入,致远1号,已转换,671,BNS000,400050
92500,400050,671,6200.0,7.3,买入,致远1号,已转换,671,BNS000,400050
92500,400050,671,20000.0,7.3,买入,致远1号,已转换,671,BNS000,400050
92500,400050,671,11796.0,7.3,买入,致远1号,已转换,671,BNS000,400050
92500,400050,671,3000.0,7.3,买入,致远1号,已转换,671,BNS000,400050
92500,400050,671,1000.0,7.3,买入,致远1号,已转换,671,BNS000,400050
92500,400050,671,1000.0,7.3,买入,致远1号,已转换,671,BNS000,400050
92500,400050,671,3104.0,7.3,买入,致远1号,已转换,671,BNS000,400050
93014,400050,671,6196.0,7.32,卖出,致远1号,已转换,671,BNS000,400050
93032,400050,671,24627.0,7.3,卖出,致远1号,已转换,671,BNS000,400050
93111,400050,601003,1500.0,7.82,买入,致远1号,已转换,601003,BNS000,400050
93111,400050,601003,3900.0,7.82,买入,致远1号,已转换,601003,BNS000,400050
93111,400050,601003,2200.0,7.82,买入,致远1号,已转换,601003,BNS000,400050
93111,400050,601003,100.0,7.82,买入,致远1号,已转换,601003,BNS000,400050
93120,400050,601003,19500.0,7.82,买入,致远1号,已转换,601003,BNS000,400050
93120,400050,601003,1000.0,7.82,买入,致远1号,已转换,601003,BNS000,400050
93121,400050,601003,7900.0,7.82,买入,致远1号,已转换,601003,BNS000,400050
93122,400050,601003,100.0,7.82,买入,致远1号,已转换,601003,BNS000,400050
93122,400050,601003,1000.0,7.82,买入,致远1号,已转换,601003,BNS000,400050
93227,400050,601003,200.0,7.84,卖出,致远1号,已转换,601003,BNS000,400050
93237,400050,671,6000.0,7.31,卖出,致远1号,已转换,671,BNS000,400050
93237,400050,671,1000.0,7.31,卖出,致远1号,已转换,671,BNS000,400050
93237,400050,671,200.0,7.31,卖出,致远1号,已转换,671,BNS000,400050
93237,400050,671,1300.0,7.31,卖出,致远1号,已转换,671,BNS000,400050
93237,400050,671,1000.0,7.31,卖出,致远1号,已转换,671,BNS000,400050
93237,400050,671,5800.0,7.31,卖出,致远1号,已转换,671,BNS000,400050
93237,400050,671,3800.0,7.31,卖出,致远1号,已转换,671,BNS000,400050
93258,400050,601003,30100.0,7.81,卖出,致远1号,已转换,601003,BNS000,400050
93258,400050,601003,1000.0,7.81,卖出,致远1号,已转换,601003,BNS000,400050
93258,400050,601003,500.0,7.81,卖出,致远1号,已转换,601003,BNS000,400050
93258,400050,601003,100.0,7.81,卖出,致远1号,已转换,601003,BNS000,400050
93259,400050,601003,3400.0,7.81,卖出,致远1号,已转换,601003,BNS000,400050
93300,400050,601003,1600.0,7.81,卖出,致远1号,已转换,601003,BNS000,400050
93301,400050,601003,100.0,7.81,卖出,致远1号,已转换,601003,BNS000,400050
93306,400050,601003,100.0,7.81,卖出,致远1号,已转换,601003,BNS000,400050
93449,400050,830,600.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,900.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,2100.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,400.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,1000.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,1000.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,800.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,2000.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,1000.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,300.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,500.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,500.0,17.8,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,1100.0,17.81,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,300.0,17.81,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,100.0,17.81,买入,致远1号,已转换,830,BNS000,400050
93449,400050,830,800.0,17.81,买入,致远1号,已转换,830,BNS000,400050
